FECHA DE EVENTO,CATEGORÍA PC,INSTANCIA,NOMBRE ACTIVIDAD,MODALIDAD,ÁREA,PARTICIPACIÓN CIUDADANA,DIRECCIÓN,COMUNA,DESCRIPCIÓN,INSCRIPTOS,ASISTENTES,CANTIDAD DE VOTOS,RESULTADO VOTACION,RELEVAMIENTOS DE OPINIÓN
06/02/18,Obra,Votación Obras,VILLA OLIMPICA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Daremos a votación de los vecinos los nombres de las calles de la Villa Olímpica.,,8,Construcción de la Villa Olímpica para los JJOO de la Juventud Buenos Aires 2018. La misma consiste en edificios con departamentos que alojaran a las diferentes delegaciones y que luego serán convertidos en viviendas sociales.,,,21139,1. Deportistas Olímpicos - 13.466 Votos - 64% 2. Equipos Emblemáticos - 5.368 Votos - 25% 3. Disciplinas Ganadoras - 2.305 Votos - 11%,
10/02/18,Proyecto,Evento Proyectos,SORTEO ENTRADAS: ATP,,Vice Jefatura,,,,,2644,6,,,
13/02/18,Obra,Reunión Informativa,PLAZA ROBERTO ARLT,,Vice Jefatura,"Tras consultar a través de un formulario a los vecinos acerca de sus ideas para mejorar la Plaza Roberto Arlt, los invitaremos a conocer el anteproyecto.",,1,Geba (Bmé Mitre 1149),198,17,,,
14/02/18,Proyecto,Experiencia BA,CENA DÍA DE LOS ENAMORADOS,,Ministerio de Cultura,"sortearemos 18 cenas exclusivas para que puedan tener un festejo del día de los enamorados diferente, al aire libre en medio de los Bosques de Palermo en el patio del renovado Museo Sívori.",,,,12913,36,,,
22/02/18,Obra,Inauguración,PLAZA FRANCISCO SICARDI,,Vice Jefatura,Se invita a los vecinos a participar de la inauguración de la Plaza Francisco Sicardi sus ideas fueron tenidas en cuenta y queremos que conozcan y vean como quedó la plaza junto a la Comuna,,7,,330,101,,,
22/02/18,Obra,Primera reunión,PLAZA SAN MIGUEL DE GARICOITS,,Vice Jefatura,1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias.,Virrey Arredondo y Delgado,13,,130,50,,,
23/02/18,Proyecto,Experiencia BA,VILLA HÍPICA,,Jefatura de Gabinete de Ministros,"los vecinos ingredsaron por villa hipica, que es la parte trasera de hipodromo, conocieron los stud de caballo, vieron una carrera, luego contaron la histoiria del hipodromo ",,14,"los vecinos ingredsaron por villa hipica, que es la parte trasera de hipodromo, conocieron los stud de caballo, vieron una carrera, luego contaron la histoiria del hipodromo ",2982,27,,,
27/02/18,Proyecto,Experiencia BA,BARRIO CHINO,,Jefatura de Gobierno,"El recorrido comenzo en la calle arribeños donde recibieron un gorro tipico los vecinos, luego observaron murales caracteristicos de la cultura china, ingresaron a locales tipicos de la zona y finalizaron entrando a la asociacion taiwanesa.",,13,"El recorrido comenzo en la calle arribeños donde recibieron un gorro tipico los vecinos, luego observaron murales caracteristicos de la cultura china, ingresaron a locales tipicos de la zona y finalizaron entrando a la asociacion taiwanesa.",3662,31,,,
02/08/18,Obra,Inauguración,PBN BALBÍN,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Se invitaron vecinos participativos,Estomba y Av. Goyeneche,12,,Sin Datos,Sin Datos ,,,
27/02/18,Obra,Votación Obras,PBN BALBÍN,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"¿Que diseño de mural te gusta más para el PBN de Av.Balbin?
 - Opción 1
 -Opción 2
 -Opción 3",Estomba y Av. Goyeneche,12,,,,35531,1. Opción 1 - 14.392 Votos - 40% 2. Opción 3 - 10.904 Votos - 31% 3. Opción 2 - 10.235 Votos - 29%,
28/02/18,Obra,Formulario de ideas,CCCA PLAN LINIERS,,Ministerio de Ambiente y Espacio Público (MAyEP),Formulario a vecinos en reemplazo de la primera reunión para recolectar ideas y sugerencias para la obra.,"Av. Rivadavia, Carhue, Ibarrola y Gral. Paz",9,,,,,,
05/03/18,Obra,Visita de Obra,NUEVA ESTACIÓN LÍNEA H (FACULTAD DE DERECHO),,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,,2,,1389,25,,,
09/03/18,Obra,Inauguración,PLAZA ALFÉREZ JOSÉ MARÍA SOBRAL,,Vice Jefatura,Invitamos a los vecinos a la inauguración de la plaza para conocer las mejoras realizadas. ,,14,,66,54,,,
12/03/18,Proyecto,Experiencia BA,LUNA LLENA EN LA RESERVA ECOLOGICA,,Ministerio de Ambiente y Espacio Público (MAyEP),los vecinos visitaron la reserva ecologica de noche donde conocieron la dinamica de la misma y presenciaron la suelta de animales ,,,los vecinos visitaron la reserva ecologica de noche donde conocieron la dinamica de la misma y presenciaron la suelta de animales ,6672,70,,,
13/03/18,Proyecto,Evento Proyectos,MEET & GREET EMMANUEL,,Ministerio de Cultura,"Dentro del marco: “Especiales de La Usina”, se le dará la posibilidad a los vecinos ganadores que participen de esta convocatoria, de conocer en persona al artista nacional, previo al show que brindará.",,,,653,28,,,
14/03/18,Obra,Reunión de co creación,ELEFANTE BLANCO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Reuniones con los vecinos ,Av. Piedra Buena 3300-3202,8,,Sin Datos ,22,,,
15/03/18,Obra,Reunión de co creación,ELEFANTE BLANCO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Presentar a los vecinos la propuesta de obra para el predio donde actualmente está ubicado el edificio conocido como “Elefante Blanco”, emblemático del barrio Ciudad Oculta.",,8,,Sin Datos ,50,,,
15/03/18,Obra,Inauguración,PLAZA DE LOS PERIODISTAS,,Vice Jefatura,Se invita a los vecinos a participar de la inauguración de la Plaza de los Periodistas sus ideas fueron tenidas en cuenta y queremos que conozcan y vean como quedó la plaza junto a la Comuna,Av Nazca 900,7,,47,60,,,
16/03/18,Obra,Reunión de co creación,ELEFANTE BLANCO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Presentar a los vecinos la propuesta de obra para el predio donde actualmente está ubicado el edificio conocido como “Elefante Blanco”, emblemático del barrio Ciudad Oculta.",,8,,Sin Datos ,55,,,
16/03/18,Obra,Convocatoria,JARDÍN PASEO DE LA CHACARITA COLEGIALES,,,,,15,,Sin Datos ,Sin Datos,,,
19/03/18,Proyecto,Convocatoria,BAFICI,,Ministerio de Cultura,,,,,6,,,,
21/03/18,Obra,Votación Obras,NUEVA ESTACIÓN LÍNEA H (FACULTAD DE DERECHO),,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"1. Julieta Lanteri - 78.247 Votos - 44.8%
2. María Angélica Barreda - 49.544 Votos - 28.4%
3. Celia Tapias - 46.868 Votos - 26.8%",,2,,,,174659,1. Julieta Lanteri - 78.247 Votos - 44.8% 2. María Angélica Barreda - 49.544 Votos - 28.4% 3. Celia Tapias - 46.868 Votos - 26.8%,
21/03/18,Obra,Reunión de co creación,ELEFANTE BLANCO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Presentar a los vecinos la propuesta de obra para el predio donde actualmente está ubicado el edificio conocido como “Elefante Blanco”, emblemático del barrio Ciudad Oculta.",,8,,Sin Datos ,22,,,
23/03/18,Obra,Reunión de co creación,ELEFANTE BLANCO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Presentar a los vecinos la propuesta de obra para el predio donde actualmente está ubicado el edificio conocido como “Elefante Blanco”, emblemático del barrio Ciudad Oculta.",,8,,Sin Datos ,39,,,
23/03/18,Obra,Reunión de co creación,ELEFANTE BLANCO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Presentar a los vecinos la propuesta de obra para el predio donde actualmente está ubicado el edificio conocido como “Elefante Blanco”, emblemático del barrio Ciudad Oculta.",,8,,,34,,,
25/03/18,Obra,Votación Obras,PBN NAZCA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"¿Que diseño de mural te gusta más para el PBN de Av. Nazca?
 - Opción 1
 -Opción 2",Av. Nazca entre Pedro Lozano y Marcos Sastre,11,,,,27045,1. Opción 1 - 15.205 Votos - 56% 2. Opción 2 - 11.840 Votos - 44%,
28/03/18,Obra,Inauguración,PLAZA GIORDANO BRUNO,,Vice Jefatura,Se invita a los vecinos a participar de la inauguración de la Plaza Giordano Bruno sus ideas fueron tenidas en cuenta y queremos que conozcan y vean como quedó la plaza junto a la Comuna,Giordano Bruno y Neuquén,6,"Luego de la puesta en valor de la plaza Giordano Bruno ubicada en el barrio de Caballito, se realizará la inauguración.Estas son las mejoras que se realizaron",149,69,,,
28/03/18,Proyecto,Experiencia BA,RECORRIDA TRIBUNALES,,Ministerio de Cultura,"Recorrido guiado a cargo de Juan Vacas. Visita al Teatro Colón, Palacio de Justicia, Sinangoga y Teatro Cervantes.",,,"Recorrido guiado a cargo de Juan Vacas. Visita al Teatro Colón, Palacio de Justicia, Sinangoga y Teatro Cervantes.",3834,30,,,
04/04/18,Obra,Votación Obras,PLAZA BRASIL,,Vice Jefatura,¿Que diseño de mural te gusta más para la Plaza Brasil? -Opción 1 -Opción 2 -Opción 3,Av. Pueyrredón y Av. Alcorta,2,"Los vecinos de la Comuna 2 podrán elegir entre tres opciones de diseño/colores de murales para la Plaza Brasil (Av. Pueyrredón y Av. Alcorta). La creación del mural en esta plaza fue una propuesta ganadora, por 241 Votos, en la plataforma BA Elige",,,1102,1. Opción 1 - 496 Votos - 45%  2. Opción 3 - 381 Votos - 35% 3. Opción 2 - 225 Votos - 20%,
04/04/18,Proyecto,Convocatoria,POSTULACIÓN - NUEVO NOMBRE DE CASA DE GOBIERNO,,Ministerio de Cultura,"Elección de nombre para la sede de Uspallata 3160. En primera instancia, los empleados postularán y eligirán los 3 mejores nombres, y en segunda instancia, será publicada la votación para los que los vecinos voten y empleados su favorita.",,4,"Elección de nombre para la sede de Uspallata 3160. En primera instancia, los empleados postularán y eligirán los 3 mejores nombres, y en segunda instancia, será publicada la votación para los que los vecinos voten y empleados su favorita.",733,,,,
10/04/18,Obra,Reunión Informativa,PLAN CONSTITUCIÓN,,Ministerio de Ambiente y Espacio Público (MAyEP),,,1,,302,73,,,
11/04/18,Obra,Reunión Informativa,ARROYO VEGA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,,15,,93,31,,,
12/04/18,Proyecto,Evento Proyectos,MEET & GREET BERSUIT,,Ministerio de Cultura,"Dentro del marco: “Especiales de La Usina”, se le dará la posibilidad a los vecinos ganadores que participen de esta convocatoria, de conocer en persona a los integrantes del grupo musical, previo al show que brindarán.",,,,933,20,,,
12/04/18,Obra,Reunión Informativa,PARQUE DEL BAJO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Se invitó a los vecinos a una reunión para que conociera el proyecto del nuevo parque del bajo,,1,,446,18,,,
12/04/18,Obra,Votación Obras,PUENTE LACARRA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"¿Cómo te gustaría que se conozca el Puente Lacarra? (pregunta tentativa) 1. Puente Olímpico ""Ribera Sur"" 2. Puente Olímpico ""Edmundo Rivero"".","27 de Febrero, entre Escalada y Cámpora",8,"Los vecinos de la Ciudad y los del Lanús podrán votar el nombre con el que quieren homenajear al nuevo Puente Lacarra, que unirá al Municipio con el Barrio de Villa Soldati, Capital Federal.",,,45140,"1. Puente Olímpico - Ribera Sur - 29.023 Votos - 34,3% 2. Puente Olímpico - Edmundo Rivero - 16.177 Votos - 35,7% ",
17/04/18,Proyecto,Evento Proyectos,LA SEMANA DEL MALBEC,,Ministerio de Cultura,"Dentro del marco: “La semana del Malbec”, se les dará la posibilidad a los vecinos ganadores que participen de esta convocatoria, de ser espectadores del show artístico destacado: “Lujan Eje del Mundo”, organizado por la Municipalidad de Luján de Cuyo.",,,,515,200,,,
17/04/18,Obra,Inauguración,PARQUE IRALA,,Vice Jefatura,Queremos invitar a los vecinos a conocer las mejoras del Parque Irala que se realizaron a través de sus sugerencias ,,4,,102,49,,,
17/04/18,Obra,Reunión Informativa,CCCA PLAN LINIERS,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Se invita a los vecinos a participar de la reunión para conocer el proyecto ,,9,,208,23,,,
18/04/18,Obra,Visita de Obra,SOTERRAMIENTO LÍNEA SARMIENTO,,Ministerio de Transporte  de la Nación,,,,,3702,9,,,
24/04/18,Proyecto,Experiencia BA,CUARTEL DE BOMBEROS,,Ministerio de Justicia y Seguridad,,,,,893,35,,,
24/04/18,Obra,Reunión Informativa,PLAZA GUILLERMO Y ALFREDO BARBIERI,,Vice Jefatura,,,4,,370,17,,,
26/04/18,Obra,Votación Obras,PUENTE ARGERICH,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),¿Qué diseño te gusta más?,,7,,,,12393,"1. Opción 1 - 8.572 Votos - 69,2% 2. Opción 2 - 3.821 Votos - 30,8%",
27/04/18,Obra,Visita de Obra,ESTACIÓN CATALINAS : LÍNEA E,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Invitamos a los vecinos a conocer y recorrer la obra de las nuevas estaciones de la Línea E. ,,1,,1495,56,,,
07/05/18,Proyecto,Experiencia BA,RECORRIDA MURALES,,Ministerio de Cultura,,,4,,1173,15,,,
10/05/18,Proyecto,Evento Proyectos,MEET & GREET COTI,,Ministerio de Cultura,Los vecinos ganadores tendrán la oportunidad de conocer al artista en persona,,,,655,29,,,
11/05/18,Obra,Inauguración,PLAZOLETA DE LOS MILAGROS,,Vice Jefatura,,,8,,518,49,,,
11/05/18,Obra,Votación Obras,PLAZOLETA DE LOS MILAGROS,,Vice Jefatura,¿Querés que la plazoleta Skanderberg se llame oficialmente Plazoleta de los Milagros ?,,8,,,,4588,"1. Si, estoy de acuerdo - 3.665 Votos - 79,9% 2. No estoy de acuerdo - 923 Votos - 20,1%",
15/05/18,Obra,Visita de Obra,PARQUE OLIMPICO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,,8,,371,29,,,
16/05/18,Obra,Visita de Obra,PBN BALBÍN,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,Estomba y Av. Goyeneche,12,,589,37,,,
17/05/18,Obra,Inauguración,NUEVA ESTACIÓN LÍNEA H (FACULTAD DE DERECHO),,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Se invita a los vecinos a conocer la obra de la nueva estción de la línea H - Facultad de Derecho,,2,,514,11,,,
22/05/18,Obra,Inauguración,PLAZA MONTE CASTRO,,Vice Jefatura,"Se invitó a vecinos a participar de la reinauguración de la Plaza Monte Castro junto a miembros de la junta comunal n°10.  Los vecinos pudieron disfrutar de las nuevas mejoras.
La plaza contó con las siguientes obras: - Mejoras en el patio de juegos",Miranda 4300 y Gualeguaychú y Mercedes,10,,173,61,,,
23/05/18,Proyecto,Experiencia BA,ANIVERSARIO 82 OBELISCO,,Ministerio de Ambiente y Espacio Público (MAyEP),"En el marco de los 82 años del Obelisco, 82 vecinos podrán subir la escalera interna del monumento para observar la ciudad desde lo alto.",,,"En el marco de los 82 años del Obelisco, 82 vecinos podrán subir la escalera interna del monumento para observar la ciudad desde lo alto.",9476,68,,,
23/05/18,Obra,Inauguración,PLAZA NORUEGA,,Vice Jefatura,Invitamos a los vecinos a la inauguración de la plaza para conocer las mejoras realizadas. ,,13,,42,57,,,
24/05/18,Obra,Visita de Obra,VIADUCTO LÍNEA MITRE,,Jefatura de Gobierno,,,Varias ,,1277,16,,,
30/05/18,Proyecto,Experiencia BA,DIRECCIÓN DE MANTENIMIENTO Y TALLERES,,Ministerio de Ambiente y Espacio Público (MAyEP),"Visita a los talleres donde se realizan oficios de carpíntería, herrería, relojería, así como otros que implican el arreglo de los espacios públicos de la ciudad.",,,"Visita a los talleres donde se realizan oficios de carpíntería, herrería, relojería, así como otros que implican el arreglo de los espacios públicos de la ciudad.",970,17,,,
31/05/18,Proyecto,Convocatoria,ABANDERADOS,,Ministerio de Ambiente y Espacio Público (MAyEP),,,Todas,,650,,,,
04/06/18,Obra,Inauguración,PLAZA BRASIL,,Vice Jefatura,Invitamos a los vecinos a la inauguración de la plaza para conocer las mejoras realizadas.  ,,2,,30,6,,,
07/06/18,Proyecto,Evento Proyectos,MEET & GREET EL BORDO,,Ministerio de Cultura,,,,,1036,26,,,
07/06/18,Proyecto,Convocatoria,PLACAS CONMEMORATIVAS - PARQUE PATRICIOS,,Jefatura de Gobierno,,,4,,203,,,,
07/06/18,Proyecto,Convocatoria,PLACAS CONMEMORATIVAS - PARQUE RIVADAVIA,,Jefatura de Gobierno,,,6,,338,,,,
07/06/18,Obra,Inauguración,PLAZA ROBERTO ARLT,,Vice Jefatura,Invitamos a los vecinos a la inauguración de la plaza para que conocieran las mejoras realizadas. ,,1,,307,101,,,
08/06/18,Obra,Visita de Obra,ARROYO VEGA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,,Varias ,,400,30,,,
13/06/18,Proyecto,Convocatoria,CONCURSO FOTOGRÁFICO DE LA CIUDAD,,Jefatura de Gobierno,,,,,969,,,,
13/06/18,Obra,Visita de Obra,SOTERRAMIENTO LÍNEA SARMIENTO,,Ministerio de Transporte  de la Nación,,,,,1626,9,,,
14/06/18,Obra,Visita de Obra,PUENTE LACARRA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Se invitó a los vecinos a participar de una visita a la obra en curso del nuevo puente Lacarra. 
Se realizaron dos recorridos, uno con vecinos y otro con  alumnos UBA.",,8,,274,35,,,
18/06/18,Obra,Votación Obras,ESTADIO ARGENTINOS JUNIORS,,Ministerio de Ambiente y Espacio Público (MAyEP),¿Cuál de estos diseños de baldosas te gusta más?,,11,,,,13067,1. Escudo - 8.899 Votos - 68%  2. Copa Libertadores del 85 - 4168 Votos - 32 %,
19/06/18,Proyecto,Evento Proyectos,1º FORO,,Jefatura de Gobierno,,,,,234,8,,,
21/06/18,Obra,Votación Obras,ESTADIO ALL BOYS,,Ministerio de Ambiente y Espacio Público (MAyEP),¿Cuál de estos diseños de baldosas te gusta más?,,10,,,,17145,1. Escudo - 13.678 Votos - 80 % 2. Copa Segunda División del 72 - 3467 Votos - 20 %,
25/06/18,Proyecto,Evento Proyectos,2º FORO,,Jefatura de Gobierno,,,,,280,5,,,
26/06/18,Proyecto,Convocatoria,CUIDADORES DE ÁRBOLES (C2),,Jefatura de Gobierno,Se realizarán nuevas plantaciones y se dará la posibilidad a los vecinos para que apadrinen árboles durante su primer año de vida mediante su riego.,,2,Se realizarán nuevas plantaciones y se dará la posibilidad a los vecinos para que apadrinen árboles durante su primer año de vida mediante su riego.,534,159,,,
28/06/18,Proyecto,Experiencia BA,EMBAJADAS ZONA RETIRO,,Ministerio de Cultura,"Recorrido por la renovada zona de Retiro, ingresando a edificios que se encuentran ahí (Cancillería, Embajada de Francia, Museo de Arte Hispanoamericano Isaac Fernández Blanco). Guiado por Juan Vacas, Director General de Museos y Patrimonio.",,,"Recorrido por la renovada zona de Retiro, ingresando a edificios que se encuentran ahí (Cancillería, Embajada de Francia, Museo de Arte Hispanoamericano Isaac Fernández Blanco). Guiado por Juan Vacas, Director General de Museos y Patrimonio.",3717,30,,,
29/06/18,Proyecto,Evento Proyectos,ARTE EN LA USINA,,Ministerio de Cultura,,,,,719,11,,,
29/06/18,Obra,Inauguración,CALESITA PLAZA ALFONSINA STORNI,,,Invitamos a los vecinos a conocer la nueva calesita de la plaza. ,,1,,97,33,,,
29/06/18,Proyecto,Experiencia BA,DISTRITO DE LAS ARTES - CMD,,Ministerio de Cultura,"Recorrido por el CMD, charlas sobre los talleres, demostración de uso de impresoras 3D.  Dinámica de cierre en grupo  para pensar ideas emprendedoras.",,,"Recorrido por el CMD, charlas sobre los talleres, demostración de uso de impresoras 3D.  Dinámica de cierre en grupo  para pensar ideas emprendedoras.",957,26,,,
29/06/18,Obra,Visita de Obra,PBN NAZCA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,,11,,397,49,,,
03/07/18,Proyecto,Evento Proyectos,3º FORO,,Jefatura de Gobierno,,,,,134,15,,,
05/07/18,Obra,Visita de Obra,VIADUCTO LÍNEA SAN MARTÍN,,Ministerio de Transporte  de la Nación,,,15,,531,48,,,
06/07/18,Obra,Reunión Informativa,CCCA PLAN LINIERS,,Ministerio de Ambiente y Espacio Público (MAyEP),Se invita a los vecinos a participar de la reunión para conocer el proyecto ,,9,,78,32,,,
06/07/18,Obra,Votación Obras,ESTADIO VÉLEZ SARSFIELD,,Ministerio de Ambiente y Espacio Público (MAyEP),¿Cuál de estos diseños de baldosas te gusta más?,,9,,,,22490,1. Escudo - 12.183 Votos - 54 % 2. Copa Libertadores del 94 - 6.102 Votos - 27 % 3. Estadio - 4205 Votos - 19 %,
06/07/18,Proyecto,Evento Proyectos,SORTEO ENTRADAS: MAR DE NOCHE,,Ministerio de Cultura,Los vecinos ganadores disfruran de la pélicula ,,,,3303,120,,,
09/07/18,Proyecto,Evento Proyectos,COCINA (ESPECIAL 9 DE JULIO),,Jefatura de Gobierno,,,,,926,14,,,
10/07/18,Proyecto,Evento Proyectos,4º FORO,,Jefatura de Gobierno,,,,,100,8,,,
11/07/18,Proyecto,Votación Proyecto,CENTRO INTEGRAL DE LA MUJER CIM COMUNA 9,,Ministerio de Hábitat y Desarrollo Humano,Dar a votación de vecinos el nombre del Centro Integral de Mujer de la Comuna 9.,,9,Dar a votación de vecinos el nombre del Centro Integral de Mujer de la Comuna 9.,,,23553,1. Alfonsina Storni - 12.945 Votos - 55 % 2. Aimé Painé - 6998 Votos - 30 % 3. Victoria Ocampo - 3.610 Votos - 15 %,
12/07/18,Proyecto,Evento Proyectos,MEET & GREET IVAN NOBLE,,Ministerio de Cultura,,,,,849,30,,,
13/07/18,Obra,Visita de Obra,PASEO DEL BAJO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,,1,,1809,29,,,
14/07/18,Proyecto,Evento Proyectos,SORTEO ENTRADAS: SUPERHEROES VS. ZOMBIES,,Ministerio de Cultura,"En esta oportunidad, y mediante Participación Ciudadana, los vecinos ganadores tendrán la posibilidad de conocer en persona al cantante Iván Noble, a través de un Meet & Greet, previo al show que brindará",,,,750,954,,,
14/07/18,Proyecto,Evento Proyectos,VAMOS A LA USINA,,Ministerio de Cultura,,,,,1461,24,,,
17/07/18,Proyecto,Evento Proyectos,5º FORO,,Jefatura de Gobierno,,,,,80,9,,,
17/07/18,Obra,Votación Obras,CCCA PLAN LINIERS,,Ministerio de Ambiente y Espacio Público (MAyEP),¿Qué color te gusta más?,,9,,,,50,1. Opción 2 - 34 Votos - 16% 2. Opción 1 - 16 Votos - 34%,
18/07/18,Obra,Reunión Informativa,ARROYO VEGA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Queremos invitar a los vecinos de la comuna 12 a una Reunión Informativa para que conozcan más sobre la Obra Hidráulica del Arroyo Vega ,,15,,830,18,,,
24/07/18,Proyecto,Evento Proyectos,6º FORO,,Jefatura de Gobierno,,,,,119,18,,,
24/07/18,Proyecto,Evento Proyectos,ABANDERADOS,,Ministerio de Ambiente y Espacio Público (MAyEP),,,Todas,,,70,,,
25/07/18,Obra,Visita de Obra,SOTERRAMIENTO LÍNEA SARMIENTO,,Ministerio de Transporte  de la Nación,,,,,1139,10,,,
27/07/18,Proyecto,Experiencia BA,ESTACIÓN RETIRO,,Ministerio de Transporte  de la Nación,,,,,1217,23,,,
31/07/18,Obra,Visita de Obra,VIADUCTO LÍNEA MITRE,,Ministerio de Transporte  de la Nación,,,Varias ,,588,21,,,
31/07/18,Proyecto,Evento Proyectos,7º FORO,,Vice Jefatura,,,,,107,12,,,
31/07/18,Proyecto,Experiencia BA,TEATRO SAN MARTÍN,,Ministerio de Cultura,"Se invita a los vecinos a recorrer las instalaciones del Teatro San Martín, conocer un taller interno del complejo y también como mas importante y diferencial ver un ensayo del ballet del teatro en las sala Obra Sapiens a estrenar en agosto de este año.",,,"Se invita a los vecinos a recorrer las instalaciones del Teatro San Martín, conocer un taller interno del complejo y también como mas importante y diferencial ver un ensayo del ballet del teatro en las sala Obra Sapiens a estrenar en agosto de este año.",2528,25,,,
01/08/18,Obra,Reunión de co creación,PLAN FLORES,,Jefatura de Gobierno,,,7,,144,35,,,
02/08/18,Proyecto,Evento Proyectos,MEET & GREET ANIMAL,,Ministerio de Cultura,,,,,884,27,,,
02/08/18,Proyecto,Votación Proyecto,PREMIOS LOLA MORA,,Ministerio de Hábitat y Desarrollo Humano,"Dar a votación de vecinos, algunas categorías del premio Lola Mora",,,"Dar a votación de vecinos, algunas categorías del premio Lola Mora",,,97400,,
03/08/18,Obra,Visita de Obra,PUENTE LACARRA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Se invitó a los vecinos a participar de una visita a la obra en curso del nuevo puente Lacarra. 
Se realizaron dos recorridos, uno con vecinos y otro con  alumnos UBA.",,8,,301,24,,,
05/08/18,Proyecto,Evento Proyectos,COCINA - FRIDA Y YO,,Ministerio de Cultura,,,,,819,8,,,
07/08/18,Proyecto,Evento Proyectos,8º FORO,,Jefatura de Gobierno,,,,,104,14,,,
07/08/18,Obra,Reunión de co creación,PLAZA CLEMENTE,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,,13,,68,57,,,
09/08/18,Proyecto,Convocatoria,CUIDADORES DE ÁRBOLES (C6),,Jefatura de Gobierno,,,6,,552,,,,
09/08/18,Proyecto,Evento Proyectos,CUIDADORES DE ÁRBOLES (C2),,Jefatura de Gobierno,,,2,,,28,,,
10/08/18,Obra,Convocatoria,PIES ENTORNO CLUBES ARGENTINO JUNIORS,,Ministerio de Ambiente y Espacio Público (MAyEP),,,11,,812,2,,,
10/08/18,Obra,Convocatoria,PIES ENTORNO CLUBES VÉLEZ SARSFIELD,,Ministerio de Ambiente y Espacio Público (MAyEP),,,9,,1344,2,,,
13/08/18,Proyecto,Votación Proyecto,RECETAS QUE CUENTAN,,Vice Jefatura,,,,,,,5854,,
14/08/18,Proyecto,Experiencia BA,FÁBRICA DE ASFALTO,,Ministerio de Ambiente y Espacio Público (MAyEP),Visita a la fábrica para conocer esta gestión y los trabajos que realizan en calles y veredas.,,,Visita a la fábrica para conocer esta gestión y los trabajos que realizan en calles y veredas.,583,27,,,
14/08/18,Obra,Reunión de co creación,PLAZA CLEMENTE,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,,13,,57,34,,,
16/08/18,Proyecto,Evento Proyectos,MEET & GREET RAÚL LAVIÉ,,Ministerio de Cultura,"los vecinos ganadores tendrán la posibilidad de conocer en persona al cantante Raúl Lavié, a través de un Meet & Greet íntimo donde tendrán la posibilidad de compartír un café con el artista y conversar sobre temas varios. ",,,,979,25,,,
18/08/18,Proyecto,Experiencia BA,TURISMO CARRETERA,,Vice Jefatura,,,,,5260,1,,,
19/08/18,Proyecto,Votación Proyecto,MUNDIAL DE TANGO,,Ministerio de Cultura,Votación pareja favorita del público en la categoría tango escenario del Mundial de Tango 2018,,,Votación pareja favorita del público en la categoría tango escenario del Mundial de Tango 2018,,,31288,Opción Ganadora: Dmitry Vasin y Sagdiana Khamzina - 11.471 Votos - 37%,
22/08/18,Obra,Visita de Obra,SOTERRAMIENTO LÍNEA SARMIENTO,,Ministerio de Transporte  de la Nación,,,,,1197,8,,,
23/08/18,Proyecto,Experiencia BA,INSTITUTO SUPERIOR DE SEGURIDAD PÚBLICA ISSP,,Ministerio de Justicia y Seguridad,Se invita a los vecinos al  ISSP (Instituto Superior de Seguridad Pública) y que conozcan como es un día en el instituto con los cadetes finalizando con un almuerzo junto a ellos.,,,Se invita a los vecinos al  ISSP (Instituto Superior de Seguridad Pública) y que conozcan como es un día en el instituto con los cadetes finalizando con un almuerzo junto a ellos.,419,18,,,
