titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Nadie Puede Leernos;Lara Baldino;Lara Baldino;2014;Español;Argentina;XD CAM EX;10 min;si;Universidad del Cine (FUC) ;Ninguno;"";"";"";Cortometraje
A Roberto;Celeste Contratti y Agustina Isidori;Celeste Contratti, Agustina Isidori, Matías Matocq;2015;Español;Argentina;Archivos Digitales ProRes LT;3: min;si;Celeste Contratti, Agustina Isidori, Matías Matocq;"";"";"";"";Cortometraje
Del infinito me han hablado;Joaquín Estévez Díaz;Joaquín Estévez Díaz;2014;Español - Selk\nam;Argentina;ProRes LT;14 min;si;Universidad del Cine;-;"";"";"";Cortometraje
Creciendo Juntos;Julieta Javkin;Julieta Javkin;2014;Español;Argentina;HDCAM;05 min;si;Independiente ;"";"";"";"";Cortometraje
Paisajes;Alberto Romero;Alberto Romero;2015;Español;Argentina;ProRes;3m min;si;Puente Films;"";"";"";"";Cortometraje
Peregrinación;Pedro Speroni;Pedro Speroni;2015;Español;Argentina;Digital media;12 min;si;Pedro Speroni ;"";"";"";"";Cortometraje
Los milagros;Facundo Fontela;Facundo Fontela;2014;Castellano;Argentina;HDCAM;9  min;si;Cine Font ;"";"";"";"";Cortometraje
Abrigos;Camilo Rodriguez;Graciela Fernandez;2014;Español;Argentina;Archivos digitales;7m min;no;Mundo Quimera;Reconocimiento a la originalidad en el 2do Festival Nacional de Cine de Esteban Echeverría (FNCEE);"";"";"";Cortometraje
PAB (Partido Apocalíptico Bladerunnerista);Azucena Losana;Azucena Losana;2014;Español;Argentina;Super 8 + audio digital ó ProRes;4m min;no;aZulosa;"";"";"";"";Cortometraje
Todo negro;Mauro Espósito - Ariel Sansoulet;Gerardo Murcia - Mauro Espósito - Ariel Sansoulet;2015;Español;Argentina;Archivos digitales ProRes LT;15 min;si;Editores en la zona;"";"";"";"";Cortometraje
Scalextric;Martín Vilela;Martín Vilela;2014;Español;Argentina;ProRes;10 min;si;Martín Vilela;"";"";"";"";Cortometraje
RELATO DE UNA SANACION;Camila Rojas Macias;Julieta Mañe Aldunate;2014;Español;Argentina;archivo digital ProRes LT;8: min;si;Ensalada de Frutas Producciones;ninguno;"";"";"";Cortometraje
La Isla Desierta;Lautaro Garcia Candela;Universidad del Cine;2014;Español;Argentina;DCP;9  min;si;Universidad del Cine;"";"";"";"";Cortometraje
HIstoria Breve de Otra Revolución Violenta;Pablo Lakatos;Lucía Ferreyra;2013-2014;Castellano;Argentina;prores LT;19 min;si;Terrorcine;-;"";"";"";Cortometraje
Zaki y Zene;Daniel Guerra;Daniel Guerra y Gastón Ibarroule;2014;Español;Argentina;ProRes LT;15 min;si;Daniel Guerra;"";"";"";"";Cortometraje
La caza;Ramiro Bailiarini;Ramiro Bailiarini;2014;Español;Argentina;Archivo digital ProRes LT;12 min;si;Ramiro Bailiarini;"";"";"";"";Cortometraje
Palermo Nunca Duerme;Emanuele Marini;Delfina Vouilloud;2014;Español- castellano;Argentina;DIGITAL 720 HD;13 min;si;Bunker In;--------;"";"";"";Cortometraje
El Alivio;Marcos Alberto Pretti;Marcos Alberto Pretti;2015;Español;Argentina;HDCAM;17 min;si;La Mula Cine;"";"";"";"";Cortometraje
El fuego nace en el agua;Julieta Amalric;Julieta Amalric;2014;español;Argentina;DCP;9. min;si;Julieta Amalric;_;"";"";"";Cortometraje
La noche de los dones;Gabriel Carnino;Gabriel Carnino;2014;castellano;Argentina;DCP;13 min;si;Gabriel Carnino;"";"";"";"";Cortometraje
Enero;Lucrecia Kelmansky-Lucía Salas;Lucrecia Kelmansky-Lucía Salas;2014;Castellano;Argentina;ProResLT;12 min;si;El Círculo Rojo;-;"";"";"";Cortometraje
Cinco minutos afuera;Constanza Gatti;Angel Del Re;2014;Español;Argentina;HD, prores 444;11 min;si;Universidad Del cine;"";"";"";"";Cortometraje
Diez Mil Horas;Julián Ignacio García;Paula Gomez Monetta;2014;Español;Argentina;Archivo Digital ProRes;27 min;si;Julián Ignacio García;"";"";"";"";Cortometraje
Nueva Vida;Kiro Russo;Kiro Russo;2015;Castellano;Bolivia;16mm - DCP;12 min;si;SocavónCine;Ninguno;"";"";"";Cortometraje
Rosita;Kiro Russo;Kiro Russo;2015;Sin Dialogos;Bolivia;Minidv - DCP;14 min;si;SocavónCIne;no;"";"";"";Cortometraje
El Portal de Rogelio;Denise Chautemps, Gaston Calivari, Juan Follonier, Ezequiel Izaguirre;Denise Chautemps, Gaston Calivari, Juan Follonier, Ezequiel Izaguirre;2014;Español;Argentina;HDCAM;45 min;si;Gastón Calivari;Ninguno;"";"";"";Cortometraje
Zavist\;Vladimir Kharchenko-Kulikovsky;Diana Shalashnaya;2014 ;Russian;Rusia;DCP (24 fps);24 min;si;Studio Devotees;"";"";"";"";Cortometraje
El Mar fuera del Mar. Edición Miramar;Mario Alberto Guzmán Cerdio;Mario Alberto Guzmán Cerdio;2014;Español;Argentina;Archivo Digital ProRes LT;6. min;si;NidoErrante;"";"";"";"";Cortometraje
Hombres de barro;Luis Abraham Gonzalez Rocha;Veronica Pilgram;2013;Español;México;DCP, Apple Pro Res H264;11 min;no;La Ñora Distribuye;"";"";"";"";Cortometraje
Historias;Ana Ireri Campos Estrada;Rubi Pineda;2014;Español;México;DCP;10 min;no;La Ñora Distribuye;Mejor cortometraje en linea en el Festival Internacional de Cine de Morelia 2014;"";"";"";Cortometraje
El sudor de la agonía;Mariano Rentería;Jonathan Barojas;2014;español;México;DCP, Apple pro res, Bluray;11 min;no;La Ñora Distribuye;Mejor cortometraje documental en el Festival internacional de cine de Morelia 2014  - Mejor cortometraje documental Mexicano en Festival de cine y video documental Zanate 2014 ;"";"";"";Cortometraje
Flor de la Mar;Jorge Thielen Armand;Lorenzo Signoretti and Jorge Thielen Armand;2014;Spanish;Venezuela;ProRes LT or Blue Ray;24 min;si;Sivax Pictures;"";"";"";"";Cortometraje
Hola extraño;Laura Martinez Hinojosa;Claudia Chavez;2014;Español;México;DCP;20 min;no;La Ñora Distribuye;NINGUNO;"";"";"";Cortometraje
Incendio/Rescate;Juan Renau;Manuel Abramovich;2014;Español;Argentina;DCP;19 min;no;Salomon Cine;"";"";"";"";Cortometraje
Pip;María Florencia Ialorenzi;María Florencia Ialorenzi;2014;español;Argentina;archivos digitales;15 min;si;Flor de producciones;----;"";"";"";Cortometraje
Mira como te olvido;Mauricio Sarmiento;Mauricio Sarmiento;2014;español;Argentina;DCP;14 min;si;Montañero cine;"";"";"";"";Cortometraje
LA FIÈVRE;Safia Benhaim;air rytmo;2014;french / arabic;Francia;DCP;39 min;no;air rytmo;Special mention (official Jury) & Best film (CAMIRA jury), Fronteira film festival;"";"";"";Cortometraje
El hombre de la ley;Conrado Ares;Facundo Guedes;2013;Español;Argentina;16mm;9: min;si;Universidad del Cine;"";"";"";"";Cortometraje
Dentro;Bruno Autran;Bruno Autran;2014;Português;Brasil;DCP(24fps) scope;15 min;no;LABUTA FILMES;*FICD –FESTIVAL INTERNACIONAL DE CINE EN EL DESIERTO – HERMOSILLO -2014 - MEXICO( HONORABLE MENTION BEST SHORT   *FICMONTERREY – MONTERREY INTERNATIONAL FILM FESTIVAL –MONTERREY –MÉXICO – 2014 ( BEST SHORT FILM PRIZE)*FESANCOR – SANTIAGO –CHILE – 2014( BE;"";"";"";Cortometraje
Deja Vu;Bruno Autran;Bruno Autran;2014;Español;Brasil;DCP(24fps) scope;3 min;si;LABUTA FILMES;"";"";"";"";Cortometraje
Маскарад;Masquerade;Russia;2014;English;Rusia;HDCAM;12 min;si;VN;"";"";"";"";Cortometraje
